##### start data
#F Ni_300mesh_2-13_NISTsi_nor.gr
#D Wed May  3 11:48:27 2006
#C 
#S 1    G(r)
#D 
#L r(A)    G(r)    d_r    d_Gr
   1.000000e-02     2.222569e-01    -7.539822e-03     1.558245e-04  
   2.000000e-02     4.377456e-01    -1.507964e-02     3.020109e-04  
   3.000000e-02     6.398291e-01    -2.261947e-02     4.296016e-04  
   4.000000e-02     8.221357e-01    -3.015929e-02     5.309582e-04  
   5.000000e-02     9.786996e-01    -3.769911e-02     6.003224e-04  
   6.000000e-02     1.104108e+00    -4.523893e-02     6.342736e-04  
   7.000000e-02     1.193653e+00    -5.277875e-02     6.320840e-04  
   8.000000e-02     1.243492e+00    -6.031858e-02     5.960157e-04  
   9.000000e-02     1.250797e+00    -6.785840e-02     5.317102e-04  
   1.000000e-01     1.213900e+00    -7.539822e-02     4.490776e-04  
   1.100000e-01     1.132416e+00    -8.293804e-02     3.645980e-04  
   1.200000e-01     1.007338e+00    -9.047786e-02     3.051091e-04  
   1.300000e-01     8.410883e-01    -9.801769e-02     3.007166e-04  
   1.400000e-01     6.375199e-01    -1.055575e-01     3.509576e-04  
   1.500000e-01     4.018630e-01    -1.130973e-01     4.247834e-04  
   1.600000e-01     1.406031e-01    -1.206372e-01     4.955657e-04  
   1.700000e-01    -1.387025e-01    -1.281770e-01     5.485096e-04  
   1.800000e-01    -4.276723e-01    -1.357168e-01     5.763777e-04  
   1.900000e-01    -7.174027e-01    -1.432566e-01     5.768943e-04  
   2.000000e-01    -9.988145e-01    -1.507964e-01     5.518226e-04  
   2.100000e-01    -1.263028e+00    -1.583363e-01     5.068389e-04  
   2.200000e-01    -1.501748e+00    -1.658761e-01     4.518939e-04  
   2.300000e-01    -1.707639e+00    -1.734159e-01     4.016154e-04  
   2.400000e-01    -1.874668e+00    -1.809557e-01     3.733925e-04  
   2.500000e-01    -1.998395e+00    -1.884956e-01     3.786842e-04  
   2.600000e-01    -2.076192e+00    -1.960354e-01     4.130279e-04  
   2.700000e-01    -2.107372e+00    -2.035752e-01     4.604555e-04  
   2.800000e-01    -2.093223e+00    -2.111150e-01     5.051825e-04  
   2.900000e-01    -2.036943e+00    -2.186548e-01     5.365271e-04  
   3.000000e-01    -1.943459e+00    -2.261947e-01     5.489055e-04  
   3.100000e-01    -1.819167e+00    -2.337345e-01     5.410466e-04  
   3.200000e-01    -1.671580e+00    -2.412743e-01     5.155296e-04  
   3.300000e-01    -1.508921e+00    -2.488141e-01     4.786260e-04  
   3.400000e-01    -1.339669e+00    -2.563539e-01     4.401010e-04  
   3.500000e-01    -1.172099e+00    -2.638938e-01     4.119548e-04  
   3.600000e-01    -1.013837e+00    -2.714336e-01     4.043467e-04  
   3.700000e-01    -8.714533e-01    -2.789734e-01     4.195278e-04  
   3.800000e-01    -7.501252e-01    -2.865132e-01     4.502542e-04  
   3.900000e-01    -6.533895e-01    -2.940531e-01     4.850357e-04  
   4.000000e-01    -5.829960e-01    -3.015929e-01     5.136803e-04  
   4.100000e-01    -5.388743e-01    -3.091327e-01     5.295067e-04  
   4.200000e-01    -5.192148e-01    -3.166725e-01     5.295967e-04  
   4.300000e-01    -5.206576e-01    -3.242123e-01     5.145786e-04  
   4.400000e-01    -5.385765e-01    -3.317522e-01     4.884072e-04  
   4.500000e-01    -5.674402e-01    -3.392920e-01     4.580475e-04  
   4.600000e-01    -6.012238e-01    -3.468318e-01     4.325269e-04  
   4.700000e-01    -6.338460e-01    -3.543716e-01     4.204302e-04  
   4.800000e-01    -6.596009e-01    -3.619115e-01     4.258850e-04  
   4.900000e-01    -6.735560e-01    -3.694513e-01     4.460712e-04  
   5.000000e-01    -6.718900e-01    -3.769911e-01     4.731570e-04  
   5.100000e-01    -6.521494e-01    -3.845309e-01     4.984460e-04  
   5.200000e-01    -6.134050e-01    -3.920707e-01     5.152094e-04  
   5.300000e-01    -5.563014e-01    -3.996106e-01     5.197062e-04  
   5.400000e-01    -4.829947e-01    -4.071504e-01     5.113271e-04  
   5.500000e-01    -3.969865e-01    -4.146902e-01     4.924702e-04  
   5.600000e-01    -3.028647e-01    -4.222300e-01     4.682424e-04  
   5.700000e-01    -2.059720e-01    -4.297699e-01     4.457104e-04  
   5.800000e-01    -1.120237e-01    -4.373097e-01     4.321488e-04  
   5.900000e-01    -2.670537e-02    -4.448495e-01     4.321730e-04  
   6.000000e-01     4.472470e-02    -4.523893e-01     4.453315e-04  
   6.100000e-01     9.779748e-02    -4.599291e-01     4.664612e-04  
   6.200000e-01     1.291363e-01    -4.674690e-01     4.884583e-04  
   6.300000e-01     1.366792e-01    -4.750088e-01     5.049979e-04  
   6.400000e-01     1.198069e-01    -4.825486e-01     5.119731e-04  
   6.500000e-01     7.936690e-02    -4.900884e-01     5.079647e-04  
   6.600000e-01     1.759462e-02    -4.976283e-01     4.942639e-04  
   6.700000e-01    -6.206218e-02    -5.051681e-01     4.746472e-04  
   6.800000e-01    -1.552018e-01    -5.127079e-01     4.547801e-04  
   6.900000e-01    -2.567904e-01    -5.202477e-01     4.409048e-04  
   7.000000e-01    -3.615221e-01    -5.277875e-01     4.376662e-04  
   7.100000e-01    -4.641931e-01    -5.353274e-01     4.459612e-04  
   7.200000e-01    -5.600599e-01    -5.428672e-01     4.625231e-04  
   7.300000e-01    -6.451574e-01    -5.504070e-01     4.816582e-04  
   7.400000e-01    -7.165542e-01    -5.579468e-01     4.976031e-04  
   7.500000e-01    -7.725263e-01    -5.654867e-01     5.061337e-04  
   7.600000e-01    -8.126383e-01    -5.730265e-01     5.052807e-04  
   7.700000e-01    -8.377277e-01    -5.805663e-01     4.955034e-04  
   7.800000e-01    -8.497930e-01    -5.881061e-01     4.795550e-04  
   7.900000e-01    -8.517984e-01    -5.956459e-01     4.620132e-04  
   8.000000e-01    -8.474067e-01    -6.031858e-01     4.482625e-04  
   8.100000e-01    -8.406653e-01    -6.107256e-01     4.427906e-04  
   8.200000e-01    -8.356671e-01    -6.182654e-01     4.473112e-04  
   8.300000e-01    -8.362125e-01    -6.258052e-01     4.599617e-04  
